OID_,SOURCE_ID,Red,Green__7062020_,Blue__7062020_,BI__7062020_,GLI__7062020_,NGRDI__7062020_,VARI__7062020_,BGI__7062020_,ExG__7062020_,ExR__7062020_,ExB__7062020_,ExGR__7062020_,MGRVI__7062020_,RGBVI___7062020_,GRRI___7062020_,VEG___7062020_,Red__6302020_,Green__6302020_,Blue__6302020_,BI__6302020_,GLI__6302020_,NGRDI__6302020_,VARI__6302020_,BGI__6302020_,ExG__6302020_,ExR__6302020_,ExB__6302020_,ExGR__6302020_,MGRVI__6302020_,RGBVI__6302020_,GRRI__6302020_,VEG__6302020_,Red__6232020_,Green__6232020_,Blue__6232020_,BI__6232020_,GLI__6232020_,NGRDI__6232020_,VARI__6232020_,BGI__6232020_,ExG__6232020_,ExR__6232020_,ExB__6232020_,ExGR__6232020_,MGRVI__6232020_,RGBVI__6232020_,GRRI__6232020_,VEG__6232020_,Red__6182020_,Green__6182020_,Blue__6182020_,BI__6182020_,GLI__6182020_,NGRDI__6182020_,VARI__6182020_,BGI__6182020_,ExG__6182020_,ExR__6182020_,ExB__6182020_,ExGR__6182020_,MGRVI__6182020_,RGBVI__6182020_,GRRI__6182020_,VEG__6182020_,Elevation_,Moisture__,Yld_Mass_D,Yld_Vol_Dr,X,Y,CLUSTER_ID,IS_SEED
1,1,40.326999999999998,64.135999999999996,37.283999999999999,48.750350699999998,0.246066941000000,0.227918019000000,0.354411349000000,0.581327180000000,50.661000000000001,-0.054168342000000,-0.084223299000000,50.715168339999998,0.433326205000000,0.464640321000000,1.590398492000000,1.632497041000000,56.704999999999998,82.951999999999998,53.255000000000003,65.657155880000005,0.202795580000000,0.187939022000000,0.303777690000000,0.641997782000000,55.944000000000003,-0.018479929000000,-0.043517251000000,55.962479930000001,0.363054566000000,0.389987323000000,1.462869236000000,1.493768883000000,55.994000000000000,80.569000000000003,48.344000000000001,63.150175859999997,0.213955310000000,0.179953575000000,0.278568109000000,0.600032270000000,56.799999999999997,-0.011775649000000,-0.069696658000000,56.811775650000001,0.348617759000000,0.411421058000000,1.438886309000000,1.511024541000000,39.832000000000001,49.734000000000002,33.296999999999997,41.508028090000003,0.152604043000000,0.110555345000000,0.175976115000000,0.669501749000000,26.338999999999999,0.049085567000000,-0.025379488000000,26.289914430000000,0.218440800000000,0.301910015000000,1.248594095000000,1.325371630000000,1155.380859000000100,17.449181079999999,9881.252930000000561,176.450725599999998,-93.539628210000004,44.065646569999998,4,0
2,2,38.753999999999998,62.752000000000002,36.085999999999999,47.405644590000001,0.252885038000000,0.236419522000000,0.366829716000000,0.575057369000000,50.664000000000001,-0.061750683000000,-0.088897610000000,50.725750679999997,0.447809116000000,0.475861787000000,1.619239304000000,1.658160790000000,60.073000000000000,89.548000000000002,56.747999999999998,70.351368469999997,0.210447524000000,0.196997748000000,0.317368880000000,0.633715996000000,62.274999999999999,-0.026388653000000,-0.048945336000000,62.301388650000000,0.379276491000000,0.403384266000000,1.490653039000000,1.519187041000000,49.067999999999998,75.689999999999998,43.456000000000003,57.807348609999998,0.241308056000000,0.213389121000000,0.327445819000000,0.574131325000000,58.856000000000002,-0.041582746000000,-0.088289916000000,58.897582749999998,0.408191286000000,0.457518283000000,1.542553191000000,1.606221501000000,31.155000000000001,43.468000000000004,27.466999999999999,34.710887520000000,0.194520397000000,0.165002747000000,0.261112054000000,0.631890126000000,28.314000000000000,0.001459497000000,-0.049115486000000,28.312540500000001,0.321258929000000,0.376559853000000,1.395217461000000,1.454998370000000,1154.186400999999933,17.942246910000001,12222.727290000000721,218.262737299999998,-93.539628210000004,44.065299170000003,2,0
3,3,38.045000000000002,62.097999999999999,35.573999999999998,46.794205859999998,0.255678285000000,0.240186533000000,0.372516223000000,0.572868691000000,50.576999999999998,-0.065098698000000,-0.090588504000000,50.642098699999998,0.454172074000000,0.480413286000000,1.632224997000000,1.669136800000000,61.671999999999997,89.894999999999996,56.045999999999999,70.771229379999994,0.208639768000000,0.186208080000000,0.295463825000000,0.623460704000000,62.072000000000003,-0.017119352000000,-0.055057246000000,62.089119349999997,0.359935939000000,0.400832942000000,1.457630691000000,1.504809276000000,50.406999999999996,75.093000000000004,42.386000000000003,57.666851520000002,0.236205598000000,0.196701195000000,0.297013740000000,0.564446753000000,57.393000000000001,-0.026942092000000,-0.093829146000000,57.419942089999999,0.378748111000000,0.450440892000000,1.489733569000000,1.578239784000000,29.001999999999999,39.506000000000000,24.811000000000000,31.714485440000001,0.189715791000000,0.153325159000000,0.240382635000000,0.628031185000000,25.199000000000002,0.011753234000000,-0.051121422000000,25.187246770000002,0.299606976000000,0.368880464000000,1.362181918000000,1.434851898000000,1154.231293000000051,17.909067629999999,12463.730960000000778,222.566360500000002,-93.539473810000004,44.064913169999997,2,0
4,4,67.519000000000005,98.221999999999994,61.000999999999998,77.303511450000002,0.209020076000000,0.185246861000000,0.293135383000000,0.621052310000000,67.924000000000007,-0.016297819000000,-0.056542678000000,67.940297819999998,0.358201535000000,0.401621326000000,1.454731261000000,1.504750250000000,47.921999999999997,72.939999999999998,44.051000000000002,56.442455310000000,0.226639984000000,0.206996409000000,0.325708557000000,0.603934741000000,53.906999999999996,-0.035468398000000,-0.068330574000000,53.942468400000003,0.396983080000000,0.431855899000000,1.522056675000000,1.565350821000000,31.622000000000000,49.728000000000002,28.542999999999999,37.804442940000001,0.246151822000000,0.222569146000000,0.342871210000000,0.573982465000000,39.290999999999997,-0.049659214000000,-0.088884642000000,39.340659209999998,0.424128240000000,0.465206786000000,1.572576055000000,1.627146791000000,30.213999999999999,41.283999999999999,26.504999999999999,33.265444920000000,0.185580851000000,0.154829506000000,0.246038273000000,0.642016277000000,25.849000000000000,0.010362948000000,-0.042621144000000,25.838637049999999,0.302409595000000,0.360669779000000,1.366386443000000,1.427298217000000,1151.290283000000045,16.049493790000000,13023.604740000000675,232.564086900000007,-93.537736809999998,44.064913169999997,3,0
5,5,71.878000000000000,103.180000000000007,64.796999999999997,81.672538209999999,0.203142536000000,0.178809309000000,0.283890043000000,0.627999612000000,69.685000000000002,-0.010634758000000,-0.051965563000000,69.695634760000004,0.346538812000000,0.391322113000000,1.435487910000000,1.485929554000000,59.247999999999998,85.908000000000001,54.932000000000002,68.088262799999995,0.201527294000000,0.183664471000000,0.295486788000000,0.639428226000000,57.636000000000003,-0.014797489000000,-0.044996202000000,57.650797490000002,0.355342309000000,0.387931605000000,1.449972995000000,1.486956940000000,34.622000000000000,53.088999999999999,29.652999999999999,40.399773979999999,0.245833162000000,0.210543717000000,0.318078473000000,0.558552619000000,41.902999999999999,-0.039349375000000,-0.098623087000000,41.942349370000002,0.403213521000000,0.465996023000000,1.533389175000000,1.614573437000000,37.433999999999997,47.021000000000001,31.010000000000002,39.046548700000002,0.157539726000000,0.113516074000000,0.179380672000000,0.659492567000000,25.597999999999999,0.046651366000000,-0.031238904000000,25.551348630000000,0.224143852000000,0.311449444000000,1.256104077000000,1.337374978000000,1157.193878000000041,17.780971050000002,9459.528808999999455,168.919975300000004,-93.537698210000002,44.065646569999998,3,0
6,6,70.060000000000002,102.650000000000006,62.441000000000003,80.300071770000002,0.215508539000000,0.188697817000000,0.295549973000000,0.608290307000000,72.799000000000007,-0.019417311000000,-0.064777951000000,72.818417310000001,0.364419788000000,0.413261484000000,1.465172709000000,1.522435545000000,59.698999999999998,86.436000000000007,53.340000000000003,68.020360420000003,0.209271417000000,0.182960961000000,0.288129748000000,0.617103984000000,59.832999999999998,-0.014324602000000,-0.058954756000000,59.847324600000000,0.354069545000000,0.402311170000000,1.447863448000000,1.503197280000000,36.374000000000002,54.639000000000003,30.748999999999999,41.848891649999999,0.238972568000000,0.200685616000000,0.303083101000000,0.562766522000000,42.155000000000001,-0.030513625000000,-0.095188975000000,42.185513620000002,0.385831960000000,0.454924162000000,1.502144389000000,1.588573750000000,38.304000000000002,47.787999999999997,31.773000000000000,39.834712199999998,0.153930203000000,0.110161223000000,0.174598207000000,0.664874027000000,25.498999999999999,0.049527850000000,-0.028047342000000,25.449472149999998,0.217680782000000,0.304696789000000,1.247598162000000,1.327729587000000,1156.500518999999940,17.684610370000001,8841.802734000000783,157.889152499999994,-93.537698210000002,44.065607970000002,3,0
7,7,72.355000000000004,103.239999999999995,64.230000000000004,81.688915050000006,0.203736901000000,0.175887696000000,0.277331298000000,0.622142580000000,69.894999999999996,-0.008101741000000,-0.055532159000000,69.903101739999997,0.341219269000000,0.392734302000000,1.426853707000000,1.484587318000000,60.287999999999997,87.259000000000000,54.837000000000003,68.934443720000004,0.205055879000000,0.182795990000000,0.290917916000000,0.628439473000000,59.393000000000001,-0.014110799000000,-0.051818326000000,59.407110799999998,0.353770946000000,0.394511206000000,1.447369294000000,1.493773322000000,35.366999999999997,53.601999999999997,29.942000000000000,40.908525830000002,0.242851263000000,0.204959031000000,0.308926424000000,0.558598560000000,41.895000000000003,-0.034380335000000,-0.098251634000000,41.929380330000001,0.393392355000000,0.461382063000000,1.515593632000000,1.602007230000000,37.390000000000001,47.469999999999999,30.779000000000000,39.152521589999999,0.164129508000000,0.118783879000000,0.186387086000000,0.648388456000000,26.771000000000001,0.042165705000000,-0.037871306000000,26.728834290000002,0.234262407000000,0.323883766000000,1.269590800000000,1.354573534000000,1156.012664999999970,17.901661870000002,9446.510742000000391,168.687496199999998,-93.537698210000002,44.065569369999999,3,0
8,8,66.590999999999994,98.432000000000002,59.875000000000000,76.829324979999996,0.217728018000000,0.192948862000000,0.302820786000000,0.608287955000000,70.397999999999996,-0.023142047000000,-0.064949444000000,70.421142050000000,0.372046699000000,0.416914645000000,1.478157709000000,1.531423779000000,53.353000000000002,78.983000000000004,49.728000000000002,62.069130500000000,0.210249495000000,0.193673679000000,0.310260507000000,0.629603839000000,54.884999999999998,-0.023556552000000,-0.051431365000000,54.908556550000000,0.373343435000000,0.403216055000000,1.480385358000000,1.515481173000000,35.021999999999998,54.048000000000002,30.696999999999999,41.190745710000002,0.243805195000000,0.213607275000000,0.325938362000000,0.567958111000000,42.377000000000002,-0.041891339000000,-0.092447836000000,42.418891340000002,0.408572191000000,0.461961315000000,1.543258523000000,1.612505752000000,34.137000000000000,44.067999999999998,28.270000000000000,36.085621760000002,0.170907980000000,0.126986766000000,0.198878542000000,0.641508578000000,25.728999999999999,0.034973468000000,-0.042169523000000,25.694026529999999,0.249943040000000,0.336058359000000,1.290916015000000,1.374581633000000,1156.868987999999945,17.772092340000000,10338.098389999999199,184.608699800000011,-93.537698210000002,44.065530770000002,3,0
9,9,70.936000000000007,101.109999999999999,62.674999999999997,79.965208730000001,0.204296209000000,0.175383328000000,0.275886661000000,0.619869449000000,68.608999999999995,-0.007666975000000,-0.056939941000000,68.616666969999997,0.340299284000000,0.393841491000000,1.425369347000000,1.485366444000000,52.869999999999997,78.298000000000002,49.368000000000002,61.544057740000000,0.210011050000000,0.193858258000000,0.310855746000000,0.630514189000000,54.357999999999997,-0.023707183000000,-0.050864094000000,54.381707179999999,0.373673484000000,0.402771581000000,1.480953282000000,1.515139764000000,34.843000000000004,53.759000000000000,29.641999999999999,40.754193620000002,0.250187497000000,0.213494052000000,0.320827680000000,0.551386745000000,43.033000000000001,-0.042106153000000,-0.103685599000000,43.075106150000003,0.408374512000000,0.473435291000000,1.542892403000000,1.628226869000000,35.930999999999997,46.152000000000001,29.440999999999999,37.805715380000002,0.170805957000000,0.124520303000000,0.194160556000000,0.637913850000000,26.931999999999999,0.037224275000000,-0.044246978000000,26.894775729999999,0.245238113000000,0.336327609000000,1.284461885000000,1.372559874000000,1157.644592000000102,17.126425739999998,9678.452880999999252,172.829296099999993,-93.537698210000002,44.065492169999999,3,0
10,10,73.186000000000007,103.620000000000005,63.777999999999999,81.977493420000002,0.204169620000000,0.172132167000000,0.269260714000000,0.615498938000000,70.275999999999996,-0.004819938000000,-0.059566721000000,70.280819940000001,0.334357495000000,0.393998170000000,1.415844560000000,1.482226918000000,56.713999999999999,82.863000000000000,51.758000000000003,65.221788610000004,0.208805316000000,0.187344620000000,0.297760166000000,0.624621363000000,57.253999999999998,-0.018101236000000,-0.054364335000000,57.272101239999998,0.361984312000000,0.401040798000000,1.461067814000000,1.506241932000000,36.585000000000001,55.673999999999999,31.099000000000000,42.446846379999997,0.243889361000000,0.206906643000000,0.312115762000000,0.558591084000000,43.664000000000001,-0.036114399000000,-0.098375460000000,43.700114399999997,0.396825063000000,0.462986727000000,1.521771218000000,1.606366820000000,40.817999999999998,50.680999999999997,32.401000000000003,41.970218350000003,0.161203109000000,0.107793528000000,0.166892281000000,0.639312563000000,28.143000000000001,0.052172720000000,-0.042934625000000,28.090827279999999,0.213110826000000,0.320222367000000,1.241633593000000,1.340883743000000,1157.959106000000020,16.566169739999999,10071.788819999999760,179.853153200000008,-93.537698210000002,44.065453570000003,3,0
