OID_,SOURCE_ID,Red__6162021_,Green__6162021_,Blue__6162021_,BI__6162021_,GLI__6162021_,NGRDI__6162021_,VARI__6162021_,BGI__6162021_,ExG__6162021_,ExR__6162021_,ExB__6162021_,ExGR__6162021_,MGRVI__6162021_,RGBVI__6162021_,GRRI__6162021_,VEG__6162021_,Red__6222021_,Green__6222021_,Blue__6222021_,BI__6222021_,GLI__6222021_,NGRDI__6222021_,VARI__6222021_,BGI__6222021_,ExG__6222021_,ExR__6222021_,ExB__6222021_,ExGR__6222021_,MGRVI__6222021_,RGBVI__6222021_,GRRI__6222021_,VEG__6222021_,Red__6302021_,Green__6302021_,Blue__6302021_,BI__6302021_,GLI__6302021_,NGRDI__6302021_,VARI__6302021_,BGI__6302021_,ExG__6302021_,ExR__6302021_,ExB__6302021_,ExGR__6302021_,MGRVI__6302021_,RGBVI__6302021_,GRRI__6302021_,VEG__6302021_,Red__7122021_,Green__7122021_,Blue__7122021_,BI__7122021_,GLI__7122021_,NGRDI__7122021_,VARI__7122021_,BGI__7122021_,ExG__7122021_,ExR__7122021_,ExB__7122021_,ExGR__7122021_,MGRVI__7122021_,RGBVI__7122021_,GRRI__7122021_,VEG__7122021_,Elevation_,Moisture__,X,Y,CLUSTER_ID,IS_SEED
1,1,85.640000000000001,112.200000000000003,74.896000000000001,92.254106350000001,0.165908099000000,0.134249899000000,0.216033316000000,0.667522282000000,63.863999999999997,0.028217764000000,-0.026933005000000,63.835782240000000,0.263746289000000,0.324936494000000,1.310135451000000,1.369943966000000,83.275999999999996,114.810000000000002,74.025999999999996,92.368964759999997,0.186905888000000,0.159193482000000,0.254183460000000,0.644769619000000,72.317999999999998,0.006528194000000,-0.041062504000000,72.311471810000000,0.310517650000000,0.362698957000000,1.378668524000000,1.433798119000000,74.218000000000004,108.390000000000001,67.859999999999999,85.365260739999997,0.208165904000000,0.187133094000000,0.297800397000000,0.626072516000000,74.701999999999998,-0.017905681000000,-0.053443953000000,74.719905679999997,0.361603277000000,0.399882536000000,1.460427390000000,1.504638377000000,43.381000000000000,65.579999999999998,37.487000000000002,50.292221830000003,0.237195087000000,0.203733446000000,0.310588466000000,0.571622446000000,50.292000000000002,-0.033094341000000,-0.089439255000000,50.325094340000000,0.391228065000000,0.451245306000000,1.511721721000000,1.587049008000000,1149.698458999999957,14.982887900000000,-93.531098439999994,44.077668660000001,1,0
2,2,92.876999999999995,118.409999999999997,79.037999999999997,98.139476720000005,0.158794818000000,0.120845106000000,0.193067622000000,0.667494299000000,64.905000000000001,0.040016533000000,-0.026717644000000,64.864983469999999,0.238211482000000,0.312714022000000,1.274911980000000,1.345284867000000,95.555000000000007,126.109999999999999,83.620999999999995,103.323056100000002,0.169320068000000,0.137843142000000,0.221342471000000,0.663079851000000,73.043999999999997,0.025114155000000,-0.029613543000000,73.018885839999996,0.270545717000000,0.331182814000000,1.319763487000000,1.379715308000000,78.799999999999997,113.700000000000003,72.671999999999997,90.218899690000001,0.200405414000000,0.181298701000000,0.291250793000000,0.639155673000000,75.927999999999997,-0.012746444000000,-0.045099784000000,75.940746439999998,0.351058388000000,0.386032077000000,1.442893401000000,1.482320890000000,47.079000000000001,68.730999999999995,40.101999999999997,53.380873620000003,0.223826249000000,0.186961402000000,0.285993554000000,0.583463066000000,50.280999999999999,-0.018089692000000,-0.080739135000000,50.299089690000002,0.361293932000000,0.428921033000000,1.459907815000000,1.540006705000000,1148.932088000000022,15.534576890000000,-93.530981440000005,44.077902659999999,1,0
3,3,76.150999999999996,102.450000000000003,68.710999999999999,83.698225429999994,0.171653867000000,0.147250015000000,0.239321139000000,0.670678380000000,60.037999999999997,0.016826519000000,-0.025290322000000,60.021173480000002,0.288250030000000,0.334654924000000,1.345353311000000,1.392209467000000,69.260000000000005,100.340000000000003,62.231000000000002,79.031134289999997,0.208293319000000,0.183254717000000,0.289469027000000,0.620201316000000,69.188999999999993,-0.014562332000000,-0.057009632000000,69.203562329999997,0.354601116000000,0.400466168000000,1.448743864000000,1.501301851000000,52.207000000000001,79.147000000000006,45.412999999999997,60.696400300000001,0.237087459000000,0.205094630000000,0.313470870000000,0.573780434000000,60.673999999999999,-0.034266577000000,-0.088075263000000,60.708266580000000,0.393631615000000,0.450876105000000,1.516022756000000,1.588065408000000,44.014000000000003,64.905000000000001,37.320999999999998,50.142291739999997,0.229581567000000,0.191803083000000,0.291781893000000,0.575009629000000,48.475000000000001,-0.022465810000000,-0.086539934000000,48.497465810000001,0.369994647000000,0.438920313000000,1.474644431000000,1.557910933000000,1146.668877000000066,15.872769359999999,-93.529889440000005,44.077746660000003,3,0
4,4,77.915999999999997,103.760000000000005,69.135000000000005,84.885587470000004,0.170541302000000,0.142253242000000,0.229640753000000,0.666297224000000,60.469000000000001,0.021220760000000,-0.027793837000000,60.447779240000003,0.278863408000000,0.333031726000000,1.331690539000000,1.385784072000000,69.936999999999998,101.480000000000004,62.497999999999998,79.781732190000000,0.210274453000000,0.184013254000000,0.289600529000000,0.615865195000000,70.525000000000006,-0.015254259000000,-0.059777270000000,70.540254259999998,0.355972952000000,0.404064497000000,1.451020204000000,1.506390168000000,52.387999999999998,79.119000000000000,45.926000000000002,60.864648140000000,0.233574480000000,0.203266746000000,0.312347367000000,0.580467397000000,59.923999999999999,-0.032552006000000,-0.083539139000000,59.956552010000003,0.390403065000000,0.444719524000000,1.510250439000000,1.577929681000000,43.384999999999998,63.677999999999997,36.390999999999998,49.198410510000002,0.229708592000000,0.189542606000000,0.287143423000000,0.571484657000000,47.579999999999998,-0.020487404000000,-0.088743430000000,47.600487399999999,0.365938364000000,0.439508532000000,1.467742307000000,1.556226841000000,1146.556017000000111,15.901755970000000,-93.529889440000005,44.077707660000002,3,0
5,5,75.018000000000001,99.909999999999997,66.834999999999994,81.805920020000002,0.169656367000000,0.142298546000000,0.230283182000000,0.668952057000000,57.966999999999999,0.021157911000000,-0.026228166000000,57.945842089999999,0.278948694000000,0.331303972000000,1.331813698000000,1.384035617000000,67.814999999999998,99.028999999999996,60.808000000000000,77.681464820000002,0.212546796000000,0.187084942000000,0.294371723000000,0.614042351000000,69.435000000000002,-0.017957233000000,-0.061048442000000,69.452957229999996,0.361516525000000,0.407959074000000,1.460281649000000,1.514290466000000,52.335999999999999,78.947000000000003,45.683999999999997,60.714395770000003,0.233961409000000,0.202699512000000,0.310879800000000,0.578666700000000,59.874000000000002,-0.032077167000000,-0.084701668000000,59.906077170000003,0.389399721000000,0.445490834000000,1.508464537000000,1.578316974000000,43.521999999999998,64.188000000000002,36.984999999999999,49.605624859999999,0.229166567000000,0.191867050000000,0.292202192000000,0.576198043000000,47.869000000000000,-0.022510799000000,-0.085759701000000,47.891510799999999,0.370109281000000,0.438140157000000,1.474840311000000,1.556978129000000,1146.621894000000111,15.948642840000000,-93.529889440000005,44.077668660000001,3,0
6,6,78.531999999999996,103.349999999999994,69.920000000000002,85.122076890000002,0.164008650000000,0.136451106000000,0.221664493000000,0.676536043000000,58.247999999999998,0.026190419000000,-0.021691647000000,58.221809579999999,0.267913947000000,0.320937875000000,1.316024041000000,1.367924372000000,70.480000000000004,99.168999999999997,62.369999999999997,78.934440859999995,0.197736633000000,0.169107982000000,0.267424193000000,0.628926378000000,65.488000000000000,-0.002142066000000,-0.051077713000000,65.490142070000005,0.328812738000000,0.382187459000000,1.407051646000000,1.465510920000000,53.976999999999997,79.697999999999993,47.856000000000002,62.063098189999998,0.220354555000000,0.192414438000000,0.299712185000000,0.600466762000000,57.563000000000002,-0.022752037000000,-0.069958299000000,57.585752040000003,0.371089897000000,0.421789858000000,1.476517776000000,1.536899154000000,43.210999999999999,63.945999999999998,36.829000000000001,49.371573060000003,0.230132928000000,0.193501125000000,0.294832784000000,0.575939074000000,47.851999999999997,-0.023964830000000,-0.086018085000000,47.875964830000001,0.373034824000000,0.439691772000000,1.479854667000000,1.560740601000000,1146.769598999999971,16.032103960000001,-93.529889440000005,44.077629659999999,3,0
7,7,77.123000000000005,102.980000000000004,68.537000000000006,84.162853839999997,0.171491952000000,0.143567847000000,0.231764158000000,0.665536997000000,60.299999999999997,0.020078024000000,-0.028266570000000,60.279921979999997,0.281336856000000,0.334731316000000,1.335269634000000,1.388795054000000,67.454999999999998,97.290999999999997,59.154000000000003,76.408794040000004,0.211627972000000,0.181103031000000,0.282559285000000,0.608011018000000,67.972999999999999,-0.012746762000000,-0.064651184000000,67.985746759999998,0.350703579000000,0.406911303000000,1.442309688000000,1.506778867000000,54.353000000000002,81.415999999999997,47.972999999999999,62.939712940000000,0.228188476000000,0.199331217000000,0.308248667000000,0.589233075000000,60.506000000000000,-0.028963438000000,-0.077575078000000,60.534963439999999,0.383427725000000,0.435369262000000,1.497911799000000,1.561506202000000,43.609000000000002,64.727000000000004,37.264000000000003,49.933072230000001,0.230978429000000,0.194930586000000,0.297135299000000,0.575710291000000,48.581000000000003,-0.025236264000000,-0.086245879000000,48.606236260000003,0.375589546000000,0.441049322000000,1.484257837000000,1.564043427000000,1146.911350000000084,16.114849509999999,-93.529889440000005,44.077590659999998,3,0
8,8,77.948999999999998,102.859999999999999,68.734999999999999,84.421021130000000,0.167523638000000,0.137775221000000,0.222272784000000,0.668238382000000,59.036000000000001,0.025120219000000,-0.026572468000000,59.010879780000003,0.270417377000000,0.327666817000000,1.319580752000000,1.376032310000000,68.852999999999994,99.125000000000000,60.465000000000003,77.936977659999997,0.210435696000000,0.180214076000000,0.281565950000000,0.609987390000000,68.932000000000002,-0.011953967000000,-0.063359350000000,68.943953969999995,0.349090693000000,0.404788352000000,1.439661307000000,1.503307404000000,53.527000000000001,80.061999999999998,47.091999999999999,61.894318630000001,0.228213221000000,0.198631624000000,0.306773645000000,0.588194150000000,59.505000000000003,-0.028360481000000,-0.078221838000000,59.533360479999999,0.382184347000000,0.435494011000000,1.495731126000000,1.560906583000000,42.680000000000000,62.938000000000002,36.417000000000002,48.679126709999998,0.228220302000000,0.191804427000000,0.292741434000000,0.578617052000000,46.779000000000003,-0.022431091000000,-0.084163762000000,46.801431090000001,0.369997056000000,0.436393371000000,1.474648547000000,1.554672687000000,1146.763813999999911,16.154747010000001,-93.529889440000005,44.077551659999997,3,0
9,9,77.253000000000000,102.310000000000002,67.867999999999995,83.748487609999998,0.170123034000000,0.139544338000000,0.224334124000000,0.663356466000000,59.499000000000002,0.023619514000000,-0.029482159000000,59.475380489999999,0.273757892000000,0.332540772000000,1.324349863000000,1.382719482000000,67.325999999999993,97.210999999999999,59.453000000000003,76.414283150000003,0.210593989000000,0.181630879000000,0.284391534000000,0.611587166000000,67.643000000000001,-0.013190767000000,-0.062399214000000,67.656190769999995,0.351660556000000,0.404918069000000,1.443884978000000,1.504934533000000,53.179000000000002,79.962000000000003,47.502000000000002,61.855658560000002,0.227328716000000,0.201162677000000,0.312743026000000,0.594057177000000,59.243000000000002,-0.030509901000000,-0.074507177000000,59.273509900000001,0.386677884000000,0.433609803000000,1.503638654000000,1.561240814000000,41.621000000000002,62.043999999999997,35.906999999999996,47.857699580000002,0.230934053000000,0.197009598000000,0.301410904000000,0.578734447000000,46.560000000000002,-0.027044106000000,-0.084359327000000,46.587044110000001,0.379297601000000,0.440680712000000,1.490689796000000,1.565826710000000,1146.677801999999929,16.162590980000001,-93.529889440000005,44.077512659999996,3,0
10,10,77.275999999999996,102.079999999999998,68.019999999999996,83.703100250000006,0.168444668000000,0.138294788000000,0.222785083000000,0.666340125000000,58.863999999999997,0.024684691000000,-0.027698726000000,58.839315310000003,0.271398949000000,0.329408145000000,1.320979347000000,1.378309957000000,67.724000000000004,97.093999999999994,59.563000000000002,76.510426260000003,0.208106385000000,0.178196556000000,0.279036625000000,0.613457062000000,66.900999999999996,-0.010163071000000,-0.061082712000000,66.911163070000001,0.345424499000000,0.400665952000000,1.433671963000000,1.496304157000000,52.070999999999998,78.738000000000000,46.390000000000001,60.726418700000004,0.230584089000000,0.203862120000000,0.315888603000000,0.589169143000000,59.015000000000001,-0.032949396000000,-0.077833396000000,59.047949400000000,0.391455443000000,0.439232821000000,1.512127672000000,1.571431975000000,41.771000000000001,62.222000000000001,35.405000000000001,47.853623159999998,0.234441028000000,0.196657467000000,0.298171692000000,0.569010961000000,47.268000000000001,-0.026848305000000,-0.090783225000000,47.294848299999998,0.378670184000000,0.447188894000000,1.489598046000000,1.573917322000000,1146.430108000000018,16.169283130000000,-93.529889440000005,44.077473660000003,3,0
